iter	Passed	Remaining
1604	408698	100583
1605	408955	100329
1606	409226	100078
1607	409476	99822
1608	409718	99564
1609	409971	99309
1610	410232	99056
1611	410496	98804
1612	410742	98547
1613	410999	98293
1614	411257	98039
1615	411499	97781
1616	411758	97528
1617	412006	97272
1618	412259	97017
1619	412503	96760
1620	412771	96508
1621	413024	96253
1622	413287	96000
1623	413540	95745
1624	413791	95490
1625	414044	95235
1626	414291	94978
1627	414555	94726
1628	414812	94472
1629	415057	94215
1630	415320	93962
1631	415571	93707
1632	415819	93451
1633	416086	93199
1634	416338	92944
1635	416607	92692
1636	416860	92437
1637	417119	92183
1638	417367	91927
1639	417615	91671
1640	417870	91417
1641	418126	91162
1642	418398	90912
1643	418642	90655
1644	418900	90401
1645	419144	90144
1646	419404	89890
1647	419688	89642
1648	419942	89387
1649	420218	89137
1650	420460	88879
1651	420708	88623
1652	420953	88367
1653	421211	88113
1654	421471	87859
1655	421724	87604
1656	421976	87349
1657	422232	87095
